,Section(Russian),Section(English),Question(Russian),Question(English),Options(Russian),Option(English),Answer,Solution(Russian),Solution(English)
257,Алгебра,Algebra,"Когда бочка пуста на 30%, она содержит на 30 литров больше меда, чем когда она полна на 30%. Сколько литров меда в полной бочке?","When a barrel is 30% empty, it contains 30 liters more honey than when it is 30% full. How many liters of honey are in a full barrel?",A) 60 B) 75 C) 90 D) 100 E) 120,A) 60 B) 75 C) 90 D) 100 E) 120,B,"В полной бочке 100% меда, следовательно, если бочка пуста на 30%, означает, что она заполнена на разницу между 100% и 30%: 100% - 30% = 70%. Если бочка полна на 30%, значит в ней 30% меда. 30 литров меда составляет разницу между 70% и 30%: 70% - 30% = 40%. Чтобы узнать сколько меда в полной бочке составим пропорцию, согласно которой 100% соответствует Х литров меда, а 40% соответствует 30 л:
 Х/100 = 30/40;
 Х=100*30/40 = 75 л.
 Ответ: 75","A full barrel contains 100% honey, therefore, if the barrel is 30% empty, it means that it is filled to the difference between 100% and 30%: 100% - 30% = 70%. If the barrel is 30% full, it means that it contains 30% honey. 30 liters of honey is the difference between 70% and 30%: 70% - 30% = 40%. To find out how much honey is in a full barrel, we will make a proportion according to which 100% corresponds to X liters of honey, and 40% corresponds to 30 liters:
 X/100 = 30/40;
 X=100*30/40 = 75 liters.
 Answer: 75"
258,Алгебра,Algebra,"Сколько различных пар вещественных чисел (х, у) удовлетворяют уравнению (х + у)^2 - (х + 3)*(у - 3)?","How many different pairs of real numbers (x, y) satisfy the equation (x + y)^2 - (x + 3)*(y - 3)?",A) 0 B) 1 C) 2 D) 3 E) 4,A) 0 B) 1 C) 2 D) 3 E) 4,B,"Пусть x+3=a, y-3=b. Тогда (x+y)^2=(x+3)(y-3) можно заменить на (a+b)^2=ab. Произведение ab>=0, поскольку оно равно квадрату числа. 
 a^2+2ab+b^2=ab. Отсюда a^2+ab+b^2=0.
 a^2+ab+b^2>=a^2+b^2>=0,
 a^2+ab+b^2=a^2+b^2=0, только если a=0 и b=0.
 Ответ: 1","Let x+3=a, y-3=b. Then (x+y)^2=(x+3)(y-3) can be replaced by (a+b)^2=ab. The product ab>=0, since it is equal to the square of a number.
 a^2+2ab+b^2=ab. Hence a^2+ab+b^2=0.
 a^2+ab+b^2>=a^2+b^2>=0,
 a^2+ab+b^2=a^2+b^2=0, only if a=0 and b=0.
 Answer: 1"
259,Логика,Logic,"Разность двух четырехзначных чисел равна 7. Для каждого из этих чисел Ермек вычислил сумму цифр, а потом из большей суммы вычел меньшую. Какой результат он не мог получить?","The difference of two four-digit numbers is 7. For each of these numbers, Ermek calculated the sum of digits and then subtracted the smaller sum from the larger sum. What result could he not get?",A) 2 B) 7 C) 11 D) 13 E) 20,A) 2 B) 7 C) 11 D) 13 E) 20,D,"1) Если последняя цифра меньшего числа 0, 1 или 2, то сумма цифр отличается на 7. 
 2) Если последняя цифра еньшего числа 3, 4, 5, 6, 7, 8, 9, а цифра десятков не 9, то у большего числа в разряде десятков цифра на 1 больше, а в разряде единиц на 3 меньше. Тогда разность сумм равна 2.
 3) Если последняя цифра меньшего числа 3, 4, 5, 6, 7, 8, 9, цифра десятков – 9, а цифра сотен не 9, то у большего числа в разряде сотен цифра на 1 больше, в разряде десятков на 9 меньше, в разряде единиц на 3 меньше. Тогда разность сумм цифр равна 11.
 4) Если последняя цифра меньшего числа 3, 4, 5, 6, 7, 8, 9, цифры десятков и сотен – 9 а цифра тысяч не 9, то у большего числа в разряде тысяч цифра на 1 больше, в разряде десятков и сотен на 9 меньше, в разряде единиц на 3 меньше. Тогда разность сумм цифр равна 20.
 5) Меньшее число не может начинаться с трёх девяток, если последняя цифра 3, 4, 5, 6, 7, 8 или 9.
 В результате он мог получить 7, 2, 11, 20.
 Ответ: 13","1) If the last digit of the smaller number is 0, 1 or 2, then the sum of the digits differs by 7.
 2) If the last digit of the smaller number is 3, 4, 5, 6, 7, 8, 9, and the tens digit is not 9, then the larger number has a digit in the tens digit that is 1 larger, and in the units digit that is 3 smaller. Then the difference in the sums is 2.
 3) If the last digit of the smaller number is 3, 4, 5, 6, 7, 8, 9, the tens digit is 9, and the hundreds digit is not 9, then the larger number has a digit in the hundreds digit that is 1 larger, in the tens digit that is 9 smaller, and in the units digit that is 3 smaller. Then the difference in the sums of the digits is 11.
 4) If the last digit of the smaller number is 3, 4, 5, 6, 7, 8, 9, the tens and hundreds digits are 9 and the thousands digit is not 9, then the larger number has a digit in the thousands digit that is 1 more, in the tens and hundreds digits that is 9 less, and in the units digit that is 3 less. Then the difference in the sums of the digits is 20.
 5) The smaller number cannot begin with three nines if the last digit is 3, 4, 5, 6, 7, 8 or 9.
 As a result, he could get 7, 2, 11, 20.
 Answer: 13"
260,Алгебра,Algebra,"Чему равна сумма двух чисел, если она на 5 больше одного из этих чисел и на 8 больше другого?",What is the sum of two numbers if it is 5 more than one of these numbers and 8 more than the other?,A) 5 B) 8 C) 11 D) 13 E) 14,A) 5 B) 8 C) 11 D) 13 E) 14,D,"Давайте обозначим сумму через х. Тогда первое число будет выражаться х-5, второе число будет как х-8. По условию известно, что х-8+х-5=х, х+х-х=5+8, х=13.
 Ответ: 13","Let's denote the sum by x. Then the first number will be expressed as x-5, the second number will be x-8. According to the condition, it is known that x-8+x-5=x, x+x-x=5+8, x=13.
 Answer: 13"
261,Алгебра,Algebra,"Гулнур нашла старую книгу, в которой не хватало нескольких стра­ниц. Последняя страница перед потерянной частью имеет номер 24, а первая после нее - 45. Сколько листков выпало из книги?","Gulnur found an old book with several pages missing. The last page before the missing part is numbered 24, and the first after it is 45. How many pages fell out of the book?",A) 9 B) 10 C) 11 D) 20 E) 21,A) 9 B) 10 C) 11 D) 20 E) 21,B,"Всего вырвано 45-24-1=20 страниц. Значит не хватало 20:2=10 листов.
 Ответ: 10","In total, 45-24-1=20 pages were torn out. So, 20:2=10 sheets were missing.
 Answer: 10"
262,Алгебра,Algebra,"У Спандияра 2020 фантика. Половина из них синие, четверть - красные,3/5 часть остальных - зеленые. Сколько у него зеленых фантиков?","Spandiar has 2020 wrappers. Half of them are blue, a quarter of them are red and 3/5th of the rest are green. How many green wrappers does he have?",A) 256 B) 303 C) 501 D) 668 E) 1002,A) 256 B) 303 C) 501 D) 668 E) 1002,B,"Прежде всего, вычислим, сколько у Спандияра было синих фантиков:
 2020 : 2 = 1010 (синих).
 Теперь определим число красных фантиков, для чего мы общее число фантиков разделим на 4, так как красных фантиков всего четверть:
 2020 : 4 = 505 (красных).
 Найдем оставшееся число фантиков:
 2020 - (1010 + 505) = 505 (остальные).
 По условию задачи, третью часть остальных фантиков составляют зеленые фантики. Вычислим их количество:
 505 * 3/5 = 303 (зеленых).
 Ответ: 303","First of all, let's calculate how many blue wrappers Spandiyar had:
 2020 : 2 = 1010 (blue).
 Now let's determine the number of red wrappers, for which we divide the total number of wrappers by 4, since there are only a quarter of red wrappers:
 2020 : 4 = 505 (red).
 Let's find the remaining number of wrappers:
 2020 - (1010 + 505) = 505 (the rest).
 According to the problem, a third of the remaining wrappers are green wrappers. Let's calculate their number:
 505 * 3/5 = 303 (green).
 Answer: 303"
263,Логика,Logic,"Султан сложил квадратный листок бумаги пополам, потом еще раз и еще два раза. В центре того, что получилось, он проделал дырку, а потом снова развернул лист. Сколько дырок он увидел?","The Sultan folded the square piece of paper in half, then folded it again, and then folded it twice more. He made a hole in the center of the square piece of paper and then unfolded it again. How many holes did he see?",A) 2 B) 4 C) 32 D) 8 E) 16,A) 2 B) 4 C) 32 D) 8 E) 16,E,"Можно заметить закономерность, что при каждом складывании листа пополам число слоев бумаги увеличивается вдвое. При проделывании отверстия все сложенные фрагменты листа будут пробиты. После развертывания Султан увидит столько отверстий, сколько было слоев. Значит Султан увидел 1 * 2 * 2 * 4 = 16 отверстий.
 Ответ: 16","You can see a pattern that each time you fold the sheet in half, the number of layers of paper doubles. When making a hole, all folded fragments of the sheet will be punched. After unfolding, the Sultan will see as many holes as there were layers. So, the Sultan saw 1 * 2 * 2 * 4 = 16 holes.
 Answer: 16"
264,Алгебра,Algebra,"У двузначного числа n цифра десятков в два раза больше, чем цифра единиц. Тогда число n обязательно","For a two-digit number n, the digit of tens is twice as large as the digit of ones. Then the number n is necessarily",A) четное B) нечетное C) меньше 20 D) делится на 3 E) делится на 6,A) even B) odd C) less than 20 D) divisible by 3 E) divisible by 6,D,"Обозначим цифра десятков числа n как 2x, а цифра единицы как х. Тогда мы можем утверждать, что число n делится на 3, потому что признак делимости на 3 - это когда сумма цифр числа делится на 3, в нашем случае 2х+х=3х делится на 3.
 Ответ: делится на 3","Let's denote the tens digit of n as 2x, and the units digit as x. Then we can say that n is divisible by 3, because the divisibility by 3 sign is when the sum of the digits of a number is divisible by 3, in our case 2x + x = 3x is divisible by 3.
 Answer: is divisible by 3"
265,Логика,Logic,"Четверо ребят обсуждали ответ к задаче. Кайрат сказал:«Это число 9 » . Самат: «Это простое число». Анар:«Это четное число». А Гульнарасказала, что это число - 15. Назовите правильный ответ, если имальчики, и девочки ошиблись ровно по одному разу.","Four boys were discussing the answer to the problem. Kairat said, ""It's the number 9"". Samat: ""It is a prime number"". Anar: ""It's an even number."" And Gulnaras said that this number is 15. Name the correct answer if both boys and girls got it wrong exactly once each.",A) 1 B) 2 C) 3 D) 9 E) 15,A) 1 B) 2 C) 3 D) 9 E) 15,B,"Если Кайрат ответил верно, то обе девочки ошиблись, так как число 9 нечётное и не равно на 15. Значит, верный ответ дал Самат. Но 15 не является простым числом, а единственное чётное простое число – это 2. 
 Ответ: 2","If Kairat answered correctly, then both girls were wrong, since the number 9 is odd and not equal to 15. So, Samat gave the correct answer. But 15 is not a prime number, and the only even prime number is 2.
 Answer: 2"
266,Алгебра,Algebra,"Остаток от деления 100 на некоторое число равен 28, а при делении 90 на это же число в остатке получается 18. На какое число делили?","The remainder of dividing 100 by some number is 28, and when 90 is divided by the same number, the remainder is 18. By what number was the remainder divided?",A) 18 B) 32 C) 24 D) 36 E) 48,A) 18 B) 32 C) 24 D) 36 E) 48,D,"Так как остаток от деления 100 на некоторое число (обозначим его переменной х) равен 28, то, если мы вычтем из 100 число 28, то полученное число будет делиться нацело на х. 100 - 28 = 72. Так как остаток от деления 90 на это же число х равен 18, то, если мы вычтем из 90 число 18, то полученное число будет делиться нацело на х. 90 - 18 = 72. Можем разложить на множители число 72: 72 = 36*2. Из предложенных вариантов условиям задачи подходит число 36.
 Ответ: 36","Since the remainder of dividing 100 by some number (let's denote it by the variable x) is 28, then if we subtract 28 from 100, the resulting number will be divisible by x. 100 - 28 = 72. Since the remainder of dividing 90 by the same number x is 18, then if we subtract 18 from 90, the resulting number will be divisible by x. 90 - 18 = 72. We can factorize the number 72: 72 = 36*2. Of the proposed options, the number 36 suits the conditions of the problem.
 Answer: 36"
267,Алгебра,Algebra,Число 111... 111 (2004 единицы) разделили на 3. Сколько нулей получилось в записи частного?,Число 111... 111 (2004 единицы) разделили на 3. Сколько нулей получилось в записи частного?,A) 670 B) 669 C) 668 D) 667 E) 665,A) 670 B) 669 C) 668 D) 667 E) 665,D,"2004 единиц состоит из 668 (111). Так как 111:3=37, 111...111 : 3 = 668 (037), в записи получится 667 нулей.
 Ответ: 667","2004 units consists of 668 (111). Since 111:3=37, 111...111 : 3 = 668 (037), the record will have 667 zeros.
 Answer: 667"
268,Логика,Logic,"У числа 125 любые две цифры отличаются не меньше, чем в два раза. Сколько всего трехзначных чисел с ненулевыми цифрами обладают этим свойством?",The number 125 has any two digits that differ by at least two times. How many three-digit numbers with non-zero digits have this property?,A) 14 B) 42 C) 48 D) 56 E) 84,A) 14 B) 42 C) 48 D) 56 E) 84,E,"Две различные цифры можно размещать по трем позициям n = 6 способами. Возможные комбинации для трех цифр:
 1) 1, 2 и любая из шести цифр: 4, 5, 6, 7, 8 и 9;
  N1 = 6n = 6 * 6 = 36.
 2) 1, 3 и любая из четырех цифр: 6, 7, 8 и 9;
  N2 = 4n = 4 * 6 = 24.
 3) 1, 4 и любая из двух цифр: 8 и 9;
  N3 = 2n = 2 * 6 = 12.
 4) 2, 4 и любая из двух цифр: 8 и 9;
  N4 = 2n = 2 * 6 = 12.
 Количество всех трехзначных чисел тогда составит: N = N1 + N2 + N3 + N4 = 36 + 24 + 12 + 12 = 84.
 Ответ: 84","Two different digits can be placed in three positions in n = 6 ways. Possible combinations for three digits:
 1) 1, 2 and any of the six digits: 4, 5, 6, 7, 8 and 9;
 N1 = 6n = 6 * 6 = 36.
 2) 1, 3 and any of the four digits: 6, 7, 8 and 9;
 N2 = 4n = 4 * 6 = 24.
 3) 1, 4 and any of the two digits: 8 and 9;
 N3 = 2n = 2 * 6 = 12.
 4) 2, 4 and any of the two digits: 8 and 9;
 N4 = 2n = 2 * 6 = 12.
 The number of all three-digit numbers will then be: N = N1 + N2 + N3 + N4 = 36 + 24 + 12 + 12 = 84.
 Answer: 84"
269,Алгебра,Algebra,"Алдияр собирает фишки с изображениями машин и птиц. Сначала у негобыло поровну фишек обоих видов, но потом он обменялся несколькими фишками со своим приятелем. В результате этого обмена число фишек с птицами уменьшилось на 5%, а число фишек с машинами увеличилось на 15%, причем фишек с машинами стало на 24 больше, чем с птицами. Сколько фишек с птицами осталось у Алдияр?","Aldiyar collects chips with pictures of cars and birds. At first, he had an equal number of chips of both types, but then he exchanged some chips with his friend. As a result of this exchange the number of chips with birds decreased by 5%, and the number of chips with cars increased by 15%, with 24 more chips with cars than with birds. How many bird chips did Aldiyar have left?",A) 6 B) 24 C) 114 D) 120 E) 138,A) 6 B) 24 C) 114 D) 120 E) 138,C,"Обозначим что изначально у Алдияр было х марок с птицами, у марок с машинами, х=у, после обмена марок с птицами стало (х-0.05х) = 0.95х, марок с машинами стало (у+0.15у) = 1.15у. Следовательно1.15у больше 0,95х на 24:
 1,15у - 0,95х = 24
 1,15у - 0,95х = 24, х=у
 1,15х - 0,95х = 24
 0,2х = 24
 х = 24/0,2 = 120 
 Изначальное количество марок с птицами было 120. Значит у Алдияр осталось 120 * 0,95 = 114 марок с птицами.
 Ответ: 114","Let's denote that initially Aldiyar had x stamps with birds, y stamps with cars, x = y, after the exchange of stamps with birds it became (x - 0.05x) = 0.95x, stamps with cars became (y + 0.15y) = 1.15y. Therefore, 1.15y is greater than 0.95x by 24:
 1.15y - 0.95x = 24
 1.15y - 0.95x = 24, x = y
 1.15x - 0.95x = 24
 0.2x = 24
 x = 24/0.2 = 120
 The initial number of stamps with birds was 120. This means that Aldiyar has 120 * 0.95 = 114 stamps with birds left.
 Answer: 114"
270,Логика,Logic,"Трое мальчиков участвуют в велосипедных гонках. Султан стартовал первым, Данияр - вторым, а Абылай - третьим. Положение Султана в гонке менялось 8 раз, а положение Абылая - 3 раза. Тогда положение Данияра могло меняться","Three boys take part in a bicycle race. Sultan started first, Daniyar second and Abylai third. Sultan's position in the race changed 8 times, and Abylai's position changed 3 times. Then Daniyar's position could change",A) 1 раз B) 2 раза C) 8 раз D) 9 раз E) ни разу,A) 1 time B) 2 times C) 8 times D) 9 times E) never,D,"Положение Султан в гонке менялось 8 раз, положение Абылай - 3 раза. Пусть положение Данияр менялось х раз. Тогда 8 + 3 + х равно удвоенному числу обгонов, и, значит, оно четное. Из этого следует, что х - нечетное. Оно не может быть равно 1, поскольку 8 + 3 + 1 = 12. Но число обгонов не может быть равно 6, т.к. 6 меньше, чем 8. Среди приведенных вариантов ответа единственный подходящий ответ - 9.
 Ответ: 9 раз","Sultan's position in the race changed 8 times, Abylai's position - 3 times. Let Daniyar's position changed x times. Then 8 + 3 + x is equal to twice the number of overtakings, and therefore it is even. It follows that x is odd. It cannot be equal to 1, since 8 + 3 + 1 = 12. But the number of overtakings cannot be equal to 6, since 6 is less than 8. Among the given answer options, the only suitable answer is 9.
 Answer: 9 times"
271,Логика,Logic,"Ученики 7-го класса решали две задачи. Проверив работы, учитель составил четыре списка: А: список учеников, решивших первую задачу; В: список учеников, решивших ровно одну задачу; С: список учеников, решивших хотя бы одну задачу; D: список учеников, решивших обе задачи. Оказалось, что все эти списки различны. Какой из списков самый длинный?","Seventh grade students were solving two problems. After checking their work, the teacher made four lists: A: the list of students who solved the first problem; B: the list of pupils who solved exactly one problem; C: a list of students who solved at least one problem; D: a list of students who solved both problems. It turns out that all these lists are different. Which list is the longest longest?",A) А B) В C) С D) D E) невозможно определить,A) A B) B C) C D) D E) impossible to determine,C,"Обозначим что а – количество учеников, решивших только первую задачу; b – количество учеников, решивших и первую, и вторую задачи; с – количество учеников, решивших только вторую задачу. Тогда, в список A входит (a + b) учеников, в список B входит (a + c) учеников, в список C входит (a + b + c) учеников, а список D состоит из b учеников. Отсюда следует, что самый длинный список C.
 Ответ: C","Let a be the number of students who solved only the first problem; b is the number of students who solved both the first and second problems; c is the number of students who solved only the second problem. Then, list A contains (a + b) students, list B contains (a + c) students, list C contains (a + b + c) students, and list D consists of b students. It follows that the longest list is C.
 Answer: C"
272,Алгебра,Algebra,"В двузначном числе х цифра единиц равна b, цифра десятков - а. При каком из условий х обязательно делится на 6?","In a two-digit number x, the digit of units is b, the digit of tens is a. Under which of the following conditions is x necessarily divisible by 6?",A) а + b = 6 B) b = 6а C) b = 5а D) b = 2а E) а = 2Ь,A) а + b = 6 B) b = 6а C) b = 5а D) b = 2а E) а = 2Ь,D,"Чтобы число делилось на 6 необходимо и достаточно, чтобы сумма цифр делилась на 3 и число было чётным. Подходит только вариант 4. b = 2а оканчивается на чётную цифру, значит это число чётное. а + 2а = 3а сумма цифр делится на 3. 
 Ответ: b = 2a","For a number to be divisible by 6, it is necessary and sufficient that the sum of the digits be divisible by 3 and the number be even. Only option 4 is suitable. b = 2a ends in an even digit, which means this number is even. a + 2a = 3a the sum of the digits is divisible by 3.
 Answer: b = 2a"
273,Алгебра,Algebra,"У каждого двузначного числа нашли произведение цифр, потом у каждого такого произведения подсчитали сумму цифр. Какая сумма самая большая?","Each two-digit number has a product of digits, then each product has a sum of digits. Which sum is the largest?",A) 9 B) 11 C) 13 D) 15 E) 18,A) 9 B) 11 C) 13 D) 15 E) 18,C,"Самым большим однозначным числом является число 9. Поэтому, начиная с цифры 9, проверим по таблице умножения, какие числа имеют цифру 9, c максимальным значением произведения его цифр. Это число 49. Сумма цифр этого числа равна 4 + 9 = 13. Теперь проверим, какие числа могут содержать цифру 8. Это числа 81, 28, 48. Суммы этих чисел меньше 13. Далее идет цифра 7. Только сумма цифр числа 77 даст число, большее 13. Но по таблице умножения такого числа нет. Следовательно, сумма цифр числа 49 является самой большой, и эта сумма равна 13.
 Ответ: 13","The largest single-digit number is 9. Therefore, starting with 9, let's check the multiplication table to see which numbers have the digit 9, with the maximum value of the product of its digits. This is 49. The sum of the digits of this number is 4 + 9 = 13. Now let's check which numbers can contain the digit 8. These are 81, 28, 48. The sums of these numbers are less than 13. Next comes 7. Only the sum of the digits of 77 will give a number greater than 13. But there is no such number according to the multiplication table. Therefore, the sum of the digits of 49 is the largest, and this sum is 13.
 Answer: 13"
274,Алгебра,Algebra,"Чему равна цифра единиц двузначного числа, если известно, что она равна 3/8 от цифры десятков?",What is the digit of units of a two-digit number if we know that it is equal to 3/8 of the digit of tens?,A) 3 B) 5 C) 8 D) 7 E) невозможно определить,A) 3 B) 5 C) 8 D) 7 E) impossible to determine,A,"Обозначим цифра единиц как x и цифра десятков как y. Значит x = 3/8*y, y = 8/3*x. Поскольку у - целое число (то есть х должен быть кратен 3) и меньше 10, единственный вариант х = 3, у = 8. В итоге искомое число - 83, цифра единиц - 3.
 Ответ: 3","Let's denote the units digit as x and the tens digit as y. This means x = 3/8*y, y = 8/3*x. Since y is an integer (i.e. x must be a multiple of 3) and less than 10, the only option is x = 3, y = 8. As a result, the desired number is 83, the units digit is 3.
 Answer: 3"
275,Алгебра,Algebra,"Если сумма трех последовательных положительных целых чисел равна 99,то произведение цифр первого из них равно","If the sum of three consecutive positive integers is 99, then the product of the digits of the first of them is equal to",A) 0 B) 3 C) 6 D) 9 E) 12,A) 0 B) 3 C) 6 D) 9 E) 12,C,"Обозначим первое число как x. Значит по условию задачи a+(a+1)+(a+2)=99
 3a+3=99
 3a=96
 a=32
 Следовательно, искомые числа: 32, 33, 34; 3*2=6.
 Ответ: 6","Let's denote the first number as x. So, according to the problem statement, a+(a+1)+(a+2)=99
 3a+3=99
 3a=96
 a=32
 Therefore, the required numbers are: 32, 33, 34; 3*2=6.
 Answer: 6"
276,Алгебра,Algebra,"Получив очередную пятерку по математике, Санжар обнаружил, что в дневнике у него стало на 100% больше пятерок, чем четверок. На сколько процентов количество четверок теперь меньше, чем количество пятерок?","After getting another A in math, Sanjar found that he had 100% more A's than F's in his diary. How many percent fewer fours than fives are there now?",A) на 0% B) на 50% C) на 100% D) на 150% E) на 200%,A) at 0% B) by 50% C) by 100% D) by 150% E) by 200%,B,"По условию задачи количество четверок обозначим через x, пятерок 2x (на 100% больше пятерок, чем четверок). Значит x составляет 50% от 2x: 2x*50/100=x.
 Ответ: на 50%","According to the problem statement, the number of fours is denoted by x, fives by 2x (there are 100% more fives than fours). This means that x is 50% of 2x: 2x*50/100=x.
 Answer: by 50%"
277,Алгебра,Algebra,"В классе сидят мальчики и девочки. Если в класс войдут еще 10 мальчиков, то всего мальчиков станет вдвое больше, чем девочек. Сколько девочек должны выйти из класса, чтобы среди оставшихся ребят оказалось вдвое больше мальчиков, чем девочек?","There are boys and girls in a classroom. If 10 more boys join the class, there will be twice as many boys as girls. How many girls",A) 0 B) 2 C) 5 D) 10 E) 20,A) 0 B) 2 C) 5 D) 10 E) 20,C,"Обозначим количество мальчиков в классе как x, количество девочек как y. Если в класс войдут еще 10 мальчиков, то всего мальчиков станет вдвое больше, чем девочек: x+10=2y. Из данного уравнения получаем что 2x+20=4y, 2x=4y-20. Дальше чтобы ребят оказалось вдвое больше мальчиков, чем девочек, должно выполняться уравнение 2x=y-a, где а это число девочек которые должны выйти. Подставляем значение 2x, полученное из первого уравнения: 4y-20=y-a, 3y=20-a. Значение а удовлетворяющее уравнение – 5.
 Ответ: 5","Let's denote the number of boys in the class as x, the number of girls as y. If 10 more boys join the class, then there will be twice as many boys as girls: x + 10 = 2y. From this equation we get that 2x + 20 = 4y, 2x = 4y - 20. Further, in order for there to be twice as many boys as girls, the equation 2x = y - a must be satisfied, where a is the number of girls who must leave. We substitute the value of 2x obtained from the first equation: 4y - 20 = y - a, 3y = 20 - a. The value of a satisfying the equation is 5.
 Answer: 5"
278,Логика,Logic,"Если куб с ребром 1 метр разрезать на кубики с ребром 1 дециметр, и поставить эти кубики друг на друга, то получится «башня» высотой","If a cube with an edge of 1 meter is cut into cubes with an edge of 1 decimeter, and these cubes are placed on top of each other, the result is a ""tower"" of height",A) 1 м B) 100 м C) 1 км D) 10 км E) 10 м,A) 1 m B) 100 m C) 1 km D) 10 km E) 10 m,B,"Объем такого куба равен 1*1*1 = 1 м^3. 
 1 дм = 0.1 м, значит объем маленького кубика равен 0.1*0.1*0.1 = 0.001 м^3. Таким образом получится 1/0.001 = 1000 кубиков. Находим высоту башни построенной данными кубиками: 1000*0.1 = 100 метров.
 Ответ: 100 м","The volume of such a cube is 1*1*1 = 1 m^3.
 1 dm = 0.1 m, so the volume of a small cube is 0.1*0.1*0.1 = 0.001 m^3. Thus, we get 1/0.001 = 1000 cubes. We find the height of the tower built with these cubes: 1000*0.1 = 100 meters.
 Answer: 100 m"
279,Алгебра,Algebra,"Какое из следующих равенств означает, что m составляет 60% от k ?",Which of the following equations means that m is 60% of k ?,A) 10m - 4k = 0 B) 10m - 6k = 0 C) 6m - 10k = 0 D) 4m - 10k = 0 E) 4m - 6k = 0,A) 10m - 4k = 0 B) 10m - 6k = 0 C) 6m - 10k = 0 D) 4m - 10k = 0 E) 4m - 6k = 0,B,"По условию задачи k*60/100=0.6k. Следовательно 0.6k=m, 10m-6k=0.
 Ответ: 10m - 6k = 0","According to the problem statement k*60/100=0.6k. Therefore 0.6k=m, 10m-6k=0.
 Answer: 10m - 6k = 0"
280,Алгебра,Algebra,Сумма пяти различных натуральных чисел равна 100. Каким может оказаться наибольшее из этих пяти чисел?,The sum of five different natural numbers is 100. What is the largest of these five numbers?,A) 10 B) 20 C) 90 D) 93 E) 96,A) 10 B) 20 C) 90 D) 93 E) 96,C,"Сначала находим сумму первых четырех минимальных натуральных чисел: 1+2+3+4=10. Следовательно, пятое число будет 100-10=90.
 Ответ: 90","First, we find the sum of the first four minimal natural numbers: 1+2+3+4=10. Therefore, the fifth number will be 100-10=90.
 Answer: 90"
281,Алгебра,Algebra,"Сумма цифр двузначного числа равна 12. Если цифру десятков умножить на 2, а цифру единиц на 3 и сложить оба произведения, то в результате получится 29. Найдите это число.","The sum of digits of a two-digit number is 12. If you multiply the digit of tens by 2 and the digit of units by 3 and add both products, the result is 29. Find this number.",A) 75 B) 66 C) 57 D) 48 E) 39,A) 75 B) 66 C) 57 D) 48 E) 39,A,"По условию задачи составим систему уравнений:
 x+y=12
 2x+3y=29
 Из первого уравнения получаем что x=12-y, подставляем на второе: 24-2y+3y=29, y=5. Следовательно x=12-5=7. Искомым числом является 75.
 Ответ: 75","According to the problem statement, we will create a system of equations:
 x+y=12
 2x+3y=29
 From the first equation we get that x=12-y, we substitute it into the second: 24-2y+3y=29, y=5. Therefore, x=12-5=7. The required number is 75.
 Answer: 75"
282,Алгебра,Algebra,"Если уменьшаемое уменышить на 1, а из вычитаемого вычесть 1, то разность","If you reduce the decreasing part by 1 and subtract 1 from the subtracting part, the difference is",A) не изменится B) увеличится на 1 C) уменьшится на 1 D) увеличится на 2 E) уменьшится на 2,A) will not change B) will increase by 1 C) decrease by 1 D) will increase by 2 E) decrease by 2,A,"Поясним на примере: Пусть дан пример a-b=c. Уменьшаемое здесь - a, вычитаемое - b, разность - c. Если мы уменьшим на 1 и вычитаемое, и уменьшаемое, как сказано в условии задачи, то получим пример a-1-(b-1)=a-b-1+1=a-b, значит значение разности будет c, то есть такое же, как и в первом примере.
 Ответ: не изменится","Let's explain with an example: Let's say we have the example a-b=c. The minuend here is a, the subtrahend is b, the difference is c. If we subtract 1 from both the subtrahend and the minuend, as stated in the problem statement, we get the example a-1-(b-1)=a-b-1+1=a-b, which means the difference will be c, that is, the same as in the first example.
 Answer: will not change"
283,Логика,Logic,"3а квадратный столик могут сесть одновременно 4 гостья, по одному с каждой стороны. Для вечеринки 7 таких столиков составили в ряд (вплотную один к другому). Сколько гостья могут сесть заполучившийся длинный стол?","A square table can seat 4 guests at a time, one on each side. For a party, 7 such tables are arranged in a row (close to each other). How many guests can sit on the resulting long table?",A) 14 B) 16 C) 21 D) 24 E) 28,A) 14 B) 16 C) 21 D) 24 E) 28,B,"Если бы столы стояли отдельно, за них бы рассадили 4 * 7 = 28 гномов. Когда 7 столов приставили один к другому в ряд, получилось 7 - 1 = 6 мест стыков столов. В каждом из таких мест не смогут сесть по 2 гнома. Всего за столы не сядут 2 * 6 = 12 гномов. Посчитаем, сколько гномов поместятся за длинным столом: 28 - 12 = 16 гномов.
 Ответ: 16","If the tables were separate, 4 * 7 = 28 gnomes would be seated at them. When 7 tables were placed next to each other in a row, there were 7 - 1 = 6 places where the tables met. 2 gnomes would not be able to sit at each of these places. In total, 2 * 6 = 12 gnomes would not be able to sit at the tables. Let's calculate how many gnomes will fit at a long table: 28 - 12 = 16 gnomes.
 Answer: 16"
